"filename", "language", "C++", "GLSL", "HTML", "comment", "blank", "total"
"c:\Users\ernes\Documents\Creations\amara2\amara2\managers\amara2_shaderManager.cpp", "C++", 321, 0, 0, 0, 40, 361
"c:\Users\ernes\Documents\Creations\amara2\amara2\managers\amara2_systemManager.cpp", "C++", 1260, 0, 0, 15, 177, 1452
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_camera.cpp", "C++", 383, 0, 0, 3, 77, 463
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_container.cpp", "C++", 176, 0, 0, 0, 33, 209
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_copyNode.cpp", "C++", 74, 0, 0, 0, 16, 90
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_fillCircle.cpp", "C++", 294, 0, 0, 3, 61, 358
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_fillRect.cpp", "C++", 78, 0, 0, 0, 20, 98
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_group.cpp", "C++", 13, 0, 0, 0, 1, 14
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_nineSlice.cpp", "C++", 609, 0, 0, 10, 107, 726
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_node.cpp", "C++", 1181, 0, 0, 0, 223, 1404
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_nodePool.cpp", "C++", 41, 0, 0, 0, 7, 48
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_particleEmitter.cpp", "C++", 622, 0, 0, 2, 90, 714
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_pathFinder.cpp", "C++", 64, 0, 0, 0, 14, 78
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_repeatSprite.cpp", "C++", 171, 0, 0, 2, 26, 199
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_scene.cpp", "C++", 117, 0, 0, 0, 24, 141
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_shaderContainer.cpp", "C++", 229, 0, 0, 0, 40, 269
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_sprite.cpp", "C++", 497, 0, 0, 5, 82, 584
"c:\Users\ernes\Documents\Creations\amara2\amara2\nodes\amara2_text.cpp", "C++", 648, 0, 0, 0, 113, 761
